dataset,source_label,group,group_normalized,gene,n_cells,pct_expressing,mean_expression
HBCA non-neuronal,roi,Human GPi,human gpi,ADORA2A,32242,0.40940388313380066,0.004187085200101137
HBCA non-neuronal,roi,Human GPi,human gpi,ADORA2B,32242,0.8188077662676013,0.009118541143834591
HBCA non-neuronal,roi,Human GPi,human gpi,ADORA3,32242,0.04342162396873643,0.0004652316856663674
HBCA non-neuronal,roi,Human Gpe,human gpe,ADORA1,2478,23.930589184826474,0.3284907042980194
HBCA non-neuronal,roi,Human Gpe,human gpe,ADORA2A,2478,0.645682001614205,0.006456819828599691
HBCA non-neuronal,roi,Human Gpe,human gpe,ADORA2B,2478,1.0088781275221952,0.010895883664488792
HBCA non-neuronal,roi,Human Gpe,human gpe,ADORA3,2478,0.0,0.0
HBCA non-neuronal,roi,Human HTHma,human hthma,ADORA1,1074,12.104283054003725,0.1378026008605957
HBCA non-neuronal,roi,Human HTHma,human hthma,ADORA2A,1074,0.4655493482309125,0.004655493423342705
HBCA non-neuronal,roi,Human HTHma,human hthma,ADORA2B,1074,0.4655493482309125,0.005586592014878988
HBCA non-neuronal,roi,Human HTHma,human hthma,ADORA3,1074,0.0,0.0
HBCA non-neuronal,roi,Human HTHma-HTHtub,human hthma-hthtub,ADORA1,2211,9.226594301221166,0.1022161915898323
HBCA non-neuronal,roi,Human HTHma-HTHtub,human hthma-hthtub,ADORA2A,2211,0.27137042062415195,0.0027137042488902807
HBCA non-neuronal,roi,Human HTHma-HTHtub,human hthma-hthtub,ADORA2B,2211,0.8141112618724559,0.008593396283686161
HBCA non-neuronal,roi,Human HTHma-HTHtub,human hthma-hthtub,ADORA3,2211,0.0,0.0
HBCA non-neuronal,roi,Human HTHpo,human hthpo,ADORA1,1722,21.138211382113823,0.25783970952033997
HBCA non-neuronal,roi,Human HTHpo,human hthpo,ADORA2A,1722,1.5679442508710801,0.01684088259935379
