dataset,field,label,n_cells,pct_cells
tabula_sapiens,cell_type,plasmacytoid dendritic cell,99,0.008713116673032815
tabula_sapiens,cell_type,neuron,82,0.007216924921097888
tabula_sapiens,cell_type,myeloid cell,81,0.007128913641572304
tabula_sapiens,cell_type,myo-medullary thymic epithelial cell,77,0.006776868523469968
tabula_sapiens,cell_type,Langerhans cell,76,0.006688857243944384
tabula_sapiens,cell_type,interstitial cell of Cajal,71,0.006248800846316464
tabula_sapiens,cell_type,peritubular myoid cell,67,0.005896755728214128
tabula_sapiens,cell_type,retinal pigment epithelial cell,67,0.005896755728214128
tabula_sapiens,cell_type,spermatogonium,64,0.005632721889637376
tabula_sapiens,cell_type,retinal bipolar neuron,61,0.005368688051060624
tabula_sapiens,cell_type,endothelial cell of venule,52,0.004576586535330368
tabula_sapiens,cell_type,vestibular dark cell,49,0.0043125526967536165
tabula_sapiens,cell_type,pancreatic A cell,48,0.004224541417228032
tabula_sapiens,cell_type,type L enteroendocrine cell,44,0.003872496299125696
tabula_sapiens,cell_type,medullary thymic epithelial cell,43,0.0037844850196001117
tabula_sapiens,cell_type,adipocyte,39,0.0034324399014977764
tabula_sapiens,cell_type,transit amplifying cell of small intestine,34,0.002992383503869856
tabula_sapiens,cell_type,taste receptor cell,32,0.002816360944818688
tabula_sapiens,cell_type,enterochromaffin-like cell,27,0.002376304547190768
tabula_sapiens,cell_type,enteroendocrine cell,25,0.0022002819881396
tabula_sapiens,cell_type,pulmonary ionocyte,25,0.0022002819881396
tabula_sapiens,cell_type,glial cell,20,0.0017602255905116802
tabula_sapiens,cell_type,oocyte,18,0.001584203031460512
tabula_sapiens,cell_type,serous cell of epithelium of bronchus,15,0.00132016919288376
tabula_sapiens,cell_type,radial glial cell,13,0.001144146633832592
tabula_sapiens,cell_type,Leydig cell,10,0.0008801127952558401
tabula_sapiens,cell_type,pancreatic D cell,9,0.000792101515730256
tabula_sapiens,cell_type,unknown,9,0.000792101515730256
tabula_sapiens,cell_type,T follicular helper cell,6,0.000528067677153504
tabula_sapiens,cell_type,retina horizontal cell,5,0.00044005639762792004
tabula_sapiens,cell_type,epithelial fate stem cell,2,0.000176022559051168
tabula_sapiens,cell_type,erythroid lineage cell,2,0.000176022559051168
tabula_sapiens,cell_type,mesenchymal cell,2,0.000176022559051168
tabula_sapiens,cell_type,pancreatic PP cell,2,0.000176022559051168
tabula_sapiens,cell_type,retinal ganglion cell,1,8.8011279525584e-05
tabula_sapiens,tissue,lymph node,100754,8.867488457320691
tabula_sapiens,tissue,blood,85233,7.501465387804101
tabula_sapiens,tissue,spleen,70448,6.200218620018341
tabula_sapiens,tissue,bladder organ,66385,5.842628791305893
tabula_sapiens,tissue,lung,65847,5.79527872292113
tabula_sapiens,tissue,thymus,42729,3.7606339628486785
tabula_sapiens,tissue,brown adipose tissue,41280,3.6331056188161077
tabula_sapiens,tissue,muscle of abdomen,35371,3.113046968099432
tabula_sapiens,tissue,mammary gland,30936,2.7227169434034666
tabula_sapiens,tissue,adipose tissue,30578,2.6912089053333075
tabula_sapiens,tissue,bone marrow,27112,2.3861618104976334
tabula_sapiens,tissue,left ovary,26782,2.357118088254191
tabula_sapiens,tissue,posterior part of tongue,23935,2.106549975444853
tabula_sapiens,tissue,parotid gland,22726,2.000144338498422
tabula_sapiens,tissue,trachea,22671,1.9953037181245148
tabula_sapiens,tissue,subcutaneous adipose tissue,22557,1.9852704322585981
tabula_sapiens,tissue,aorta,22228,1.9563147212946812
tabula_sapiens,tissue,liver,22214,1.955082563381323
tabula_sapiens,tissue,prostate gland,21030,1.8508772084230314
tabula_sapiens,tissue,inguinal lymph node,20325,1.7888292563574948
tabula_sapiens,tissue,duodenum,19377,1.7053945633672412
tabula_sapiens,tissue,right ovary,18602,1.6371858217349136
tabula_sapiens,tissue,stomach smooth muscle,16497,1.4519220783335591
tabula_sapiens,tissue,anterior part of tongue,14656,1.289893312726959
tabula_sapiens,tissue,coronary artery,13937,1.226613202748064
tabula_sapiens,tissue,exocrine pancreas,12919,1.1370177201910197
tabula_sapiens,tissue,skin of body,11729,1.0322842975555748
tabula_sapiens,tissue,small intestine,11554,1.0168823236385975
tabula_sapiens,tissue,sublingual gland,11549,1.0164422672409696
tabula_sapiens,tissue,muscle of pelvic diaphragm,11401,1.003416597871183
tabula_sapiens,tissue,myometrium,11346,0.998575977497276
tabula_sapiens,tissue,kidney,11224,0.9878386013951548
tabula_sapiens,tissue,ascending colon,10664,0.9385522848608278
tabula_sapiens,tissue,ileum,10485,0.9227982658257482
tabula_sapiens,tissue,large intestine,10387,0.914173160432241
tabula_sapiens,tissue,endometrium,10011,0.8810809193306214
tabula_sapiens,tissue,stomach,9212,0.8107599069896798
tabula_sapiens,tissue,sigmoid colon,9033,0.7950058879546004
tabula_sapiens,tissue,cardiac atrium,8539,0.7515283158689618
tabula_sapiens,tissue,heart,8049,0.7084027889014256
tabula_sapiens,tissue,mesenteric lymph node,7983,0.702594044452737
tabula_sapiens,tissue,eyelid,7814,0.6877201382129133
tabula_sapiens,tissue,testis,7513,0.6612287430757126
tabula_sapiens,tissue,mucosa of stomach,7063,0.6216236672891998
tabula_sapiens,tissue,lacrimal gland,6695,0.5892355164237848
tabula_sapiens,tissue,submandibular gland,5546,0.4881105562488889
tabula_sapiens,tissue,anterior segment of eyeball,5419,0.4769331237491397
tabula_sapiens,tissue,eye,3911,0.344212114224559
tabula_sapiens,tissue,cardiac ventricle,3811,0.3354109862720006
tabula_sapiens,tissue,conjunctiva,3641,0.32044906875265133
tabula_sapiens,tissue,cornea,3593,0.31622452733542333
tabula_sapiens,tissue,ovary,3567,0.3139362340677581
tabula_sapiens,tissue,right cardiac atrium,3178,0.27969984633230593
tabula_sapiens,tissue,skin of chest,3008,0.26473792881295666
tabula_sapiens,tissue,vasculature,2915,0.25655287981707736
tabula_sapiens,tissue,thoracic aorta,2802,0.24660760523068634
tabula_sapiens,tissue,skin of abdomen,2747,0.24176698485677922
tabula_sapiens,tissue,crista ampullaris,2397,0.21096303702282487
tabula_sapiens,tissue,heart right ventricle,2255,0.19846543533019192
tabula_sapiens,tissue,sclera,1561,0.1373856073394366
tabula_sapiens,tissue,endocrine pancreas,1221,0.10746177230073807
tabula_sapiens,tissue,posterior segment of eyeball,792,0.06970493338426252
tabula_sapiens,tissue,retinal neural layer,721,0.06345613253794606
tabula_sapiens,tissue,uterus,672,0.059143579841192444
tabula_sapiens,tissue,utricle of membranous labyrinth,658,0.05791142192783427
tabula_sapiens,tissue,jejunum,620,0.05456699330586207
tabula_sapiens,tissue,buccal mucosa,302,0.02657940641672637
tabula_sapiens,tissue,muscularis mucosae of stomach,292,0.025699293621470526
tabula_sapiens,tissue,abdominal aorta,276,0.024291113149061183
tabula_sapiens,tissue,inferior vena cava,255,0.02244287627902392
tabula_sapiens,tissue,left coronary artery,237,0.02085867324756341
tabula_sapiens,tissue,tongue,163,0.014345838562670191
tabula_sapiens,tissue,cortex of kidney,152,0.013377714487888768
tabula_sapiens,tissue,chorioretinal region,87,0.007656981318725808
tabula_sapiens,tissue,ocular surface region,39,0.0034324399014977764
tabula_sapiens,tissue_in_publication,Lymph_Node,129062,11.358911758130922
tabula_sapiens,tissue_in_publication,Fat,94415,8.309584956408013
tabula_sapiens,tissue_in_publication,Blood,85233,7.501465387804101
tabula_sapiens,tissue_in_publication,Spleen,70448,6.200218620018341
tabula_sapiens,tissue_in_publication,Bladder,66385,5.842628791305893
tabula_sapiens,tissue_in_publication,Lung,65847,5.79527872292113
tabula_sapiens,tissue_in_publication,Ovary,48951,4.308240144056862
tabula_sapiens,tissue_in_publication,Muscle,46772,4.116463565970615
tabula_sapiens,tissue_in_publication,Thymus,42729,3.7606339628486785
tabula_sapiens,tissue_in_publication,Vasculature,42650,3.7536810717661573
tabula_sapiens,tissue_in_publication,Small_Intestine,42036,3.6996421461374487
tabula_sapiens,tissue_in_publication,Salivary_Gland,39821,3.5046971619882803
tabula_sapiens,tissue_in_publication,Tongue,38754,3.4107891267344823
tabula_sapiens,tissue_in_publication,Eye,34273,3.0164105831803405
tabula_sapiens,tissue_in_publication,Stomach,33064,2.9100049462339093
tabula_sapiens,tissue_in_publication,Mammary,30936,2.7227169434034666
tabula_sapiens,tissue_in_publication,Large_Intestine,30084,2.6477313332476693
tabula_sapiens,tissue_in_publication,Bone_Marrow,27112,2.3861618104976334
tabula_sapiens,tissue_in_publication,Heart,25832,2.273507372704886
tabula_sapiens,tissue_in_publication,Trachea,22671,1.9953037181245148
tabula_sapiens,tissue_in_publication,Liver,22214,1.955082563381323
tabula_sapiens,tissue_in_publication,Uterus,22029,1.9388004766690898
tabula_sapiens,tissue_in_publication,Prostate,21030,1.8508772084230314
tabula_sapiens,tissue_in_publication,Skin,17786,1.5653686176420372
tabula_sapiens,tissue_in_publication,Pancreas,14140,1.2444794924917577
tabula_sapiens,tissue_in_publication,Kidney,11376,1.0012163158830436
tabula_sapiens,tissue_in_publication,Testis,7513,0.6612287430757126
tabula_sapiens,tissue_in_publication,Ear,3055,0.2688744589506591
hbca_non_neuronal,ROIGroup,Hindbrain,184265,20.744419164143952
hbca_non_neuronal,ROIGroup,Cerebral nuclei,150926,16.99113888566787
hbca_non_neuronal,ROIGroup,Cerebral cortex,147442,16.598912709411515
hbca_non_neuronal,ROIGroup,Thalamus,128371,14.451913453560488
hbca_non_neuronal,ROIGroup,Midbrain,121456,13.673427802351332
hbca_non_neuronal,ROIGroup,Hippocampus,109980,12.381468101226776
hbca_non_neuronal,ROIGroup,Hypothalamus,24191,2.72340511762845
hbca_non_neuronal,ROIGroup,Spinal cord,18152,2.0435389068327736
hbca_non_neuronal,ROIGroup,Epithalamus,2048,0.23056234471096962
hbca_non_neuronal,ROIGroup,Paleocortex,1432,0.1612135144658733
hbca_non_neuronal,ROIGroupCoarse,Cerebral nuclei,150926,16.99113888566787
hbca_non_neuronal,ROIGroupCoarse,Cerebral cortex,148874,16.76012622387739
hbca_non_neuronal,ROIGroupCoarse,Thalamus,130419,14.682475798271458
hbca_non_neuronal,ROIGroupCoarse,Midbrain,121456,13.673427802351332
hbca_non_neuronal,ROIGroupCoarse,Hippocampus,109980,12.381468101226776
hbca_non_neuronal,ROIGroupCoarse,Pons,97127,10.934486745479662
hbca_non_neuronal,ROIGroupCoarse,Cerebellum,49003,5.516721961851389
hbca_non_neuronal,ROIGroupCoarse,Myelencephalon,38135,4.293210456812903
