"barcode","group","AddModuleScore__minimal8","AddModuleScore__full61","scPS__minimal8","scPS__full61","AUCell__minimal8","AUCell__full61","JASMINE__minimal8","JASMINE__full61","ssGSEA__minimal8","ssGSEA__full61","UCell__minimal8","UCell__full61","SCSE__minimal8","SCSE__full61"
"cell_16829","naive thymus-derived CD8-positive, alpha-beta T cell",-0.0555735214089153,0.0512760253091079,0,0.0629372484710789,0,0.175234972677596,0,0.485663430809455,19335.3022624509,23721.2834064497,0,0.117449140153333,0,0.615564065942696
"cell_16830","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0533400050589599,0.0994381442333907,0,0.0630453404803944,0,0.199174863387978,0,0.510315834558428,20198.2911771016,24075.5849437333,0,0.098042607327389,0,0.739199661370549
"cell_16831","CD4-positive, alpha-beta thymocyte",-0.0485520198856659,0.0139031331204124,0,0.0477013464414337,0,0.163874316939891,0,0.439575973916372,20084.7761931087,23654.1057033787,0,0.0789876016917943,0,0.560322837643057
"cell_16832","plasma cell",-0.0461664391677108,-0.072721388033875,0,0.0222641786370405,0,0.0731475409836066,0,0.369136409432639,20440.0730923463,22473.555370789,0,0.0417815174815029,0,0.310436669381015
"cell_16833","CD4-positive, alpha-beta thymocyte",-0.0533019925497737,-0.0104362305328012,0,0.0439252534247569,0,0.141704918032787,0,0.409285624249294,19907.6278094987,23472.8990847357,0,0.0675322791237487,0,0.470232234501354
"cell_16834","CD4-positive, alpha-beta thymocyte",0.162972973690128,0.0920314628261977,0.0537359208342784,0.0607269585878329,0.112877911779283,0.172639344262295,0.489305125275127,0.497351970459292,20985.4186751856,23549.3554045034,0.0952022734871281,0.110753384146682,0.0544869319914084,0.70141931895248
"cell_16835","CD4-positive, alpha-beta thymocyte",-0.0469412397169711,-0.0495787962713581,0,0.032130434819567,0,0.10116393442623,0,0.361133758727629,20291.6785042411,23224.4128108844,0,0.0340646586838376,0,0.41985822866938
"cell_16836","endothelial cell of artery",-0.0332573481899878,0.0847792056478729,0,0.0654128815635817,0,0.169366120218579,0,0.463767408380646,20432.5721022146,23783.0451237994,0,0.0577397359640215,0,0.686076036003319
"cell_16837","lung multiciliated epithelial cell",-0.0373023556650839,0.0139260626549422,0.0108001533880429,0.0588145562170346,0,0.138710382513661,0.1428652779666,0.438400063884393,19466.3836290585,23019.3261162812,0,0.100363802743028,0.00887413416700236,0.497765251362659
"cell_16838","respiratory tract goblet cell",-0.0294515748113432,-0.0269820702562199,0,0.0294568322364736,0,0.124103825136612,0,0.431501775215759,20219.9190319813,23160.0764169423,0,0.0743452108605163,0,0.440210202159295
"cell_16839","basophil",-0.0315204194245396,0.118996467213159,0,0.0641751875203253,0,0.165453551912568,0,0.52449346528957,20635.9739512855,23660.3525904767,0,0.121031369616891,0,0.799312970602471
"cell_16840","respiratory tract goblet cell",0.0112032480900376,0.00105436654462346,0.011637741114999,0.0434293641401762,0.039360647612754,0.139431693989071,0.180355080419613,0.432528698908059,20419.6351141314,23606.8638290477,0,0.0810632860538562,0.0141394117340415,0.52871492072754
"cell_16841","lung multiciliated epithelial cell",-0.0557639339280646,-0.0162334018958482,0.00804627075764053,0.0533688118277179,0,0.138666666666667,0.125571508933121,0.392207444081955,19017.3708211889,22124.7381464018,0,0.111595933444185,0.00665574762216377,0.446117559724927
"cell_16842","respiratory tract goblet cell",-0.000840320793568911,-0.0368264315619077,0.00934669338618765,0.0361396106762036,0,0.118032786885246,0.164657850384628,0.409765367401683,20151.0645129439,23075.0806633574,0,0.0598321597160999,0.0112956409303954,0.441035177285387
"cell_16843","basophil",-0.0342633119905241,0.0259390185337739,0,0.0484289116861346,0,0.135049180327869,0,0.408560663538294,20477.2029934981,23505.4946683583,0,0.0505585376468881,0,0.58597530138376
"cell_16844","capillary endothelial cell",-0.0354352652068807,0.109896952891168,0,0.0623700190755773,0,0.150907103825137,0,0.504945315160282,20685.2304531503,23473.5214633984,0,0.110139606512739,0,0.720706676674194
"cell_16845","macrophage",0.0316080472764771,0.0209779415512257,0.0185593035257631,0.05518745927225,0,0.173912568306011,0.182167225468229,0.485508615447654,21357.1409605381,23739.1472506361,0,0.0812529991407113,0.0186908725400703,0.567048974380848
"cell_16846","endothelial cell of artery",-0.0440976584190568,0.212111749238342,0,0.0817982296717835,0,0.202754098360656,0,0.558174159782743,20487.4543466781,24340.3774435632,0,0.135282170317714,0,0.916287003049537
"cell_16847","basophil",-0.0349086142467479,0.120690635834325,0,0.0652543297651346,0,0.178830601092896,0,0.521039699165191,20593.3433240371,23918.1481310836,0,0.117175730116395,0,0.806224525308169
"cell_16848","lung multiciliated epithelial cell",-0.106763306970047,0.0206958143234142,0,0.0613908137524963,0,0.146262295081967,0,0.433268158437457,18295.4149971946,22173.0959123863,0,0.085700097088462,0,0.479524160251934
"cell_16849","basophil",-0.0137577477879752,0.0715667031959228,0,0.0495105395920869,0,0.124513661202186,0,0.573482652654012,20894.6330943265,23377.8910315666,0,0.112661674608577,0,0.758058766242337
